snapped_at,price,market_cap,total_volume
2022-07-19 00:00:00 UTC,1.9385768374629646,271113577.68374985,45877574.754392914
2022-07-20 00:00:00 UTC,2.0025548739785415,280955148.745089,54978576.40560494
2022-07-21 00:00:00 UTC,1.8881616857392711,265709677.90206996,46077824.02810973
2022-07-22 00:00:00 UTC,1.9262368904328682,270911254.12692297,32710963.829001453
2022-07-23 00:00:00 UTC,2.0262328884790293,284109585.4307827,116801184.20381685
2022-07-24 00:00:00 UTC,2.094962238824749,294208101.87232614,75272003.04575312
2022-07-25 00:00:00 UTC,2.056433147497143,289646084.1372887,40655507.05776348
2022-07-26 00:00:00 UTC,1.8526165476317435,263052835.6891437,41174529.90815658
2022-07-27 00:00:00 UTC,1.867972251315299,261941437.72716945,32253052.899325956
2022-07-28 00:00:00 UTC,2.009550657254855,280411653.5073059,36959821.693041585
2022-07-29 00:00:00 UTC,2.3106243098851067,322982863.5405579,149046404.3347586
2022-07-30 00:00:00 UTC,2.303014334764114,327128872.4884825,107049138.78312479
2022-07-31 00:00:00 UTC,2.2602415552041197,316213749.64805114,72974289.50514062
2022-08-01 00:00:00 UTC,2.2063053588968207,309808847.9708773,46058259.97113205
2022-08-02 00:00:00 UTC,2.27651881487843,318507377.4468264,47135900.48029091
2022-08-03 00:00:00 UTC,2.1728477960853323,305975004.7144149,43534827.10343382
2022-08-04 00:00:00 UTC,2.163268686608608,302829615.5933546,36139076.453412555
2022-08-05 00:00:00 UTC,2.2120012808742384,309031153.61761427,36680132.04631541
2022-08-06 00:00:00 UTC,2.3621121325541337,329587930.3407343,49802198.11280154
2022-08-07 00:00:00 UTC,2.3443354931603997,328966956.68835485,44141881.484518774
2022-08-08 00:00:00 UTC,2.3350395493159226,327563252.9248451,37005175.463859595
2022-08-09 00:00:00 UTC,2.4028115534932013,337568599.37107605,50251301.46554592
2022-08-10 00:00:00 UTC,2.3048109314399907,323606215.38828653,53995636.91492463
2022-08-11 00:00:00 UTC,2.4038394023942136,336914420.9240608,49453766.791951284
2022-08-12 00:00:00 UTC,2.401881070007964,336548338.9223114,44407999.200101696
2022-08-13 00:00:00 UTC,2.410985709758513,337910596.1533043,35860333.70652721
2022-08-14 00:00:00 UTC,2.4140162036076185,338596036.6388647,31112546.50494689
2022-08-15 00:00:00 UTC,2.33507207413536,327475212.1210595,37392266.56169022
2022-08-16 00:00:00 UTC,2.3421852588718046,327636661.9745285,34508581.6477893
2022-08-17 00:00:00 UTC,2.2801328429276317,319504280.1639841,31173451.292008266
2022-08-18 00:00:00 UTC,2.2211195818059344,311825185.9500243,46189418.56378747
2022-08-19 00:00:00 UTC,2.126462737018613,298208860.94216,32934174.88830669
2022-08-20 00:00:00 UTC,1.8956545303248842,265452735.92249033,46118723.66302258
2022-08-21 00:00:00 UTC,1.8830162378447757,263575212.5447668,27821497.17284504
2022-08-22 00:00:00 UTC,1.951477922570689,273918822.4486522,22860789.97925078
2022-08-23 00:00:00 UTC,1.9243218294767384,269662313.369187,28924365.38274603
2022-08-24 00:00:00 UTC,1.9743334249436317,277180300.26975846,60887773.38206733
2022-08-25 00:00:00 UTC,1.9545090839417336,273632891.31020445,46205454.25348509
2022-08-26 00:00:00 UTC,1.994911393155599,279705700.33799696,35109733.64286524
2022-08-27 00:00:00 UTC,1.7786148996160505,248521030.14677182,47598130.676355086
2022-08-28 00:00:00 UTC,1.7895241732501783,251487753.92486674,30763443.407270648
2022-08-29 00:00:00 UTC,1.7326016094575092,243229186.78289407,19060785.412716836
2022-08-30 00:00:00 UTC,1.869582715165581,262239139.09383976,26841116.33968021
2022-08-31 00:00:00 UTC,1.818177706752879,255961642.75068873,26927301.821752444
2022-09-01 00:00:00 UTC,1.7968671937850456,251914190.62918136,25471450.22179496
2022-09-02 00:00:00 UTC,1.8068339782274847,253014108.6240885,26277589.59917663
2022-09-03 00:00:00 UTC,1.7892729310561561,250969462.747388,27600836.742019985
2022-09-04 00:00:00 UTC,1.7913764440550575,251409470.10195655,19517808.8779274
2022-09-05 00:00:00 UTC,1.9091989960299398,268233572.94221294,26014574.70660829
2022-09-06 00:00:00 UTC,1.8674709512090208,261888558.88657707,23062795.472621795
2022-09-07 00:00:00 UTC,1.6976859868233498,238587224.41543543,34326861.67893583
2022-09-08 00:00:00 UTC,1.8111931463202884,255062974.85355017,34594379.150795184
2022-09-09 00:00:00 UTC,1.84883639010603,259233488.49066517,30523450.671182234
2022-09-10 00:00:00 UTC,1.9314755562050236,270819729.3286225,33087716.284439933
2022-09-11 00:00:00 UTC,1.9283782021664921,270911390.4015371,33129187.551410735
2022-09-12 00:00:00 UTC,1.932702597891673,271126996.7319099,30349434.55299678
2022-09-13 00:00:00 UTC,1.9742963054751883,276448169.99707794,60316486.441525266
2022-09-14 00:00:00 UTC,1.787223736797091,250559883.57839143,52604473.37169065
2022-09-15 00:00:00 UTC,1.8126194050125524,253516529.55447093,33747744.7158094
2022-09-16 00:00:00 UTC,1.7371893558042852,243679071.1735364,40558432.09646471
2022-09-17 00:00:00 UTC,1.7614251793082603,246864369.02980056,27671895.232344735
2022-09-18 00:00:00 UTC,1.8329987807200436,256905617.93389064,17944125.956472367
2022-09-19 00:00:00 UTC,1.6775706246893234,235376480.3978326,28227582.45339205
2022-09-20 00:00:00 UTC,1.7181991112905486,241220539.39511788,33732079.54958788
2022-09-21 00:00:00 UTC,1.6904925280096077,237502721.447664,31083251.560113538
2022-09-22 00:00:00 UTC,1.6564482371287135,231928946.4347526,42893949.75462934
2022-09-23 00:00:00 UTC,1.7692150681034253,247689824.90987772,24371283.67404771
2022-09-24 00:00:00 UTC,1.7714071588907465,249306793.78875616,26105236.917132962
2022-09-25 00:00:00 UTC,1.7318800286058504,242758856.76327312,16962040.469594676
2022-09-26 00:00:00 UTC,1.7018333253140727,238318360.21716818,16784628.569999743
2022-09-27 00:00:00 UTC,1.7122313382657819,239842877.01064065,22010537.596324045
2022-09-28 00:00:00 UTC,1.7193189969367422,241637826.43784347,37918526.43595386
2022-09-29 00:00:00 UTC,1.7241199815149264,241621807.6984591,24150324.3814424
2022-09-30 00:00:00 UTC,1.7294539725832199,242465910.12575266,21492744.445250932
