snapped_at,ada,ar,atom,bat,bch,bnb,btc,busd,cro,dai,dash,dgb,doge,etc,eth,ftm,kcs,leo,link,mana,mkr,mnw,omg,qtum,snx,usdc,usdt,xlm,xmr,xrp,zec,zil
2020-01-01 00:00:00+00:00,0.0329119289552144,0.8134111483736388,4.219578839577872,0.1808704806413721,204.5617918985738,13.716390519164424,7195.153895430029,1.0024013720300238,0.0336405976948488,0.9818469907264622,41.14378219645246,0.0052807142182277,0.0020310603733523,4.497328852712455,129.18638529253852,0.0109161793890121,0.9088276781697472,0.8173476692253757,1.7628770827130276,0.0303541425396143,434.68416374547706,0.1156173028814377,0.6067267896237291,1.6098477808550398,1.2055779246679448,1.0031723760053015,0.9993664485610304,0.0450421036305142,44.58649153843305,0.1929932868004913,27.529298390787897,0.004451777355146
2020-01-02 00:00:00+00:00,0.0333619981736328,0.696112362089054,4.381528163294225,0.1946719236574486,204.34831148801007,13.68590248839226,7193.7546679601,1.002661473989509,0.0339549534190599,0.9726058008924008,41.7831991364471,0.0052360494949342,0.0020256529175354,4.496492580507064,130.4846850311141,0.0105831865514343,0.9098968490177536,0.8200659999596122,1.801350661318486,0.0316488869854128,437.0474395373289,0.1165163517488674,0.6163871184921348,1.5995716510438067,1.2099176625504902,1.0033463682511732,0.999507821326192,0.0453110575055641,45.78057840676354,0.1925555238273866,28.046205979890093,0.0045026957497456
2020-01-03 00:00:00+00:00,0.0326178549132033,0.664268076334616,4.098819059472855,0.1825231409010118,195.67464008078036,13.00717054213436,6963.853353983485,1.0016534131943615,0.0328911401734663,0.978826383556656,39.96757093651983,0.0052293543387162,0.002008392768899,4.245297191375952,127.04525801179804,0.0102691312117702,0.8612236701835813,0.8321407015751302,1.7339751083627917,0.0327744450202604,424.1566489163365,0.1148611539764517,0.5935356828969007,1.532725604237324,1.1142600000427163,1.0024337376043235,0.9999832025083374,0.0437351712772599,45.342984562148125,0.1874333190417677,27.02958346128943,0.004354064197221
2020-01-04 00:00:00+00:00,0.03396737105303,0.6778901218974961,4.227682415562312,0.1861736505583487,221.6214523815721,13.603275575206876,7300.34693530511,1.0011948426615105,0.034393843065755,0.98787714642571,43.82060220836618,0.0053412841394615,0.0020488746556611,4.558635941736443,133.70264861844188,0.0103427253183792,0.9271606112903316,0.8418271746629234,1.8008318845222655,0.0327306440671722,441.92014672633695,0.1164220137474054,0.6254299890785866,1.6247135877936836,1.1612367382390736,1.000129940621688,0.9986614009361052,0.0456093152176928,50.8512243148835,0.1922991451065672,28.44898856924362,0.0044744498811475
2020-01-05 00:00:00+00:00,0.0342983105505921,0.6658073484225565,4.253197325895877,0.1880935871162275,224.48750494850444,13.794575234456074,7351.377053166627,1.0018293951398989,0.0343884339146084,0.970133742675622,46.164579831790505,0.0054039094290146,0.0021893358810617,4.652389522167919,134.1368826978575,0.010663682551191,0.9944784562203448,0.848558871189763,1.8244206172608568,0.0355511646563349,438.5498337111599,0.1139516677160559,0.6258967352497726,1.6389429635128765,1.1400311921487123,1.0011328053531696,0.9995946940849466,0.0457030577360676,50.29499846146174,0.1928116408005257,29.934325109130448,0.0045565202179078
2020-01-06 00:00:00+00:00,0.0344269740004588,0.6576068570900591,4.199192098332791,0.1866108122704018,222.66461535290645,14.006360708388502,7349.972248050628,1.0001439993921206,0.0344068726282791,0.9811010361823272,51.13767846476209,0.005385754992007,0.002070406002027,4.871036840656329,135.00571364233377,0.0104725451138375,1.0363830930790758,0.8489084058851708,1.7927417761079796,0.0355564401334323,443.900407902658,0.1146276576700626,0.6345275003618119,1.625610471420052,1.126774404548109,1.0005001016376387,0.999073171867019,0.0453473760890541,53.599592895835706,0.1938156066611448,30.69720215960649,0.0045761474552355
2020-01-07 00:00:00+00:00,0.036998615370016,0.6700689122521868,4.099196833372115,0.1905189344039058,243.78220113693763,14.900504443309478,7734.675515785289,0.9988836298472604,0.0364675819849873,0.99868002674042,56.55601546595422,0.0057364048176772,0.002130012065464,5.0317089853425045,143.80639795566535,0.0107519080810271,1.085339198309078,0.8670678571276477,1.9289459637160469,0.0367005338908469,464.5850472544909,0.1236002969882301,0.681470893337937,1.728875821177954,0.9406522711213928,0.9995427434685225,0.9981827866429676,0.0500346081799111,58.830147259929,0.2188693769495847,32.73523967019369,0.0049132985431059
2020-01-08 00:00:00+00:00,0.0370003149146818,0.68697596653465,4.084230654785973,0.1922305123691808,242.96726225221477,14.969516286188654,8147.415237636371,0.9975714026055512,0.0380874004042917,0.9956359758022524,54.68706062299755,0.0059277478716655,0.0022347809887025,4.825036363354673,143.019432264986,0.0104391524742513,1.0793688074541858,0.8820894124562749,2.1071254211508093,0.0337220841423173,468.09858585238544,0.1284149304366471,0.671809399752288,1.733604394235249,1.018976552560671,0.9991398120540472,0.997681336691834,0.0485749562723042,58.595770481287744,0.2140233777978407,32.39231638259794,0.0047959196487187
2020-01-09 00:00:00+00:00,0.0362252550448545,0.6997988159948236,3.994339815034059,0.1818992583792297,239.81321792850505,14.49911394271138,8045.789124592971,0.9975340253053566,0.0399068484865085,1.0004055374300225,52.21347858231656,0.0056636120997623,0.0021698238204068,4.943327993221521,140.27393527388705,0.0102093690068697,1.0457477661139836,0.8941955805001649,2.1809369562451804,0.0340977873788886,480.0542545421937,0.1245790411754296,0.6578146183883733,1.677130908077063,0.9118015683418036,0.9963422485458072,0.9965366815334304,0.047387481940989,59.279698273058926,0.2077455033575198,30.78663728304301,0.0047099408197325
2020-01-10 00:00:00+00:00,0.0360681336331278,0.686329868585844,4.225668193352644,0.1840993249293408,238.16357628176075,14.402400294232802,7832.795643840387,1.0006463309274505,0.0383737757083903,1.0027315646284447,50.48492929030922,0.0055102295024101,0.0022898991972156,5.175770162034797,137.86055928182662,0.0100876473164814,1.0306865451947858,0.8615633239977735,2.1704058288449564,0.0335634034747512,469.62360206334125,0.1197216874230951,0.6389043134509069,1.6360058265134814,0.8497700785790507,1.0004192458659895,0.9994794280889748,0.0471613719654797,58.83564666143205,0.203559358672246,30.841511911995,0.0046089982312771
